In,Out,Weight
4482089,4482089,1
291372,291372,1
5738822,5225363,1
3802195,1612981,1
5152892,5610953,1
5152892,4334348,1
5152892,5686489,1
369770,5764553,1
369770,369770,1
369770,2086460,1
2258599,5873054,1
4793696,4793696,1
2403090,555304,1
4960882,5962832,1
5937287,1873365,1
4939097,4709746,1
751223,1205871,1
1262799,1262799,1
4041522,5804115,1
1144326,3986737,1
3832917,3832917,1
5236553,5242405,1
6002577,5873054,1
4312199,3386635,1
4312199,2881286,1
4312199,6084362,1
2761425,4336685,1
3937815,2138752,1
3937815,4099454,1
3937815,3937815,1
6002008,2535335,1
1034747,3027637,1
4169605,4830578,1
2567660,5764553,1
5884295,1942,1
5884295,5884295,1
525341,1893766,1
525341,5971809,1
3337818,4462191,1
5941485,3562157,1
3751962,1116870,1
3751962,2006429,1
2078412,1375553,1
3604638,1542806,1
3604638,1501285,1
3068946,3068946,1
4292010,957005,1
549910,549910,1
549910,2389327,1
1761022,902539,1
6003482,4823900,2
803678,803678,1
803678,3141816,1
1461542,812369,1
111794,5822880,1
111794,1567453,1
111794,5937052,1
111794,611545,1
111794,1081234,1
4655002,1353011,1
4655002,1222805,1
4655002,6018048,1
4655002,4143975,1
4655002,2922854,1
4655002,1262541,1
4322301,217408,1
2195875,5410688,1
2195875,1169519,1
4273915,392102,1
4713681,4713681,1
1474672,2805376,1
1474672,2705585,1
1633757,1291163,1
5343181,5343181,1
5826502,2572383,1
135767,135767,1
1464339,2766511,1
1464339,1464339,1
4485626,3332391,1
3630497,1222240,1
3630497,5852567,1
3149129,5678086,1
3149129,5634822,1
2653016,1418154,1
5865231,1416013,1
301596,3790927,1
301596,2618971,1
5979596,4331247,1
3282434,2749581,1
3282434,4278933,1
3282434,1623026,1
5661019,2242409,1
5661019,1816431,1
5661019,1507325,1
5661019,1323504,1
2656843,2656843,1
605129,3208258,1
605129,1946501,1
2370086,1873365,1
2996808,5230735,1
1721238,5741762,1
4547352,4341456,1
4547352,5861069,1
4547352,246927,1
1046810,1942,1
1046810,5202875,1
5152892,2913508,1
5152892,6000348,1
373386,4478047,1
1944296,454780,1
1944296,1944296,1
2848286,1984039,1
2848286,5762799,1
4948676,2162496,1
5611933,5611933,1
5830903,5830903,1
6003044,676195,1
3656447,62937,1
3656447,1983583,1
3656447,458193,1
5963526,3937680,1
5963526,5963526,1
4806744,5889530,1
6000468,816620,1
6000468,4938328,1
6000468,4175733,1
1817288,5982493,1
1817288,1817288,1
5241159,4056188,1
6000441,4155665,1
1202807,2827823,1
1202807,2341601,1
1202807,4796489,1
1836964,93356,1
5860299,486979,1
1110819,92701,1
4975710,1561269,1
4341456,1098851,1
4998200,3286625,1
5124167,5124167,1
6000566,3011380,1
4782740,3720222,1
4365228,5892720,1
1918465,1918465,1
1396502,1712905,1
1396502,2050780,1
1396502,3725361,1
4263746,2477659,1
4263746,4263746,1
3061143,3061143,1
4870602,2356315,1
4870602,1621039,1
4870602,2168947,1
5929463,4421782,1
6004627,6004627,1
1137034,217408,1
1137034,1873365,1
9970,1429053,1
9970,9970,1
5842642,3716608,1
5403074,1048200,1
5589649,1735264,1
5589649,6008370,1
4864334,4863465,1
4864334,594235,1
5928107,4096129,1
5928107,2813224,1
1659913,3018210,1
6000883,4916074,1
5767562,4360479,2
1807880,1957849,1
2559838,3382204,1
4868100,6008370,1
4037019,5997007,1
4037019,3974539,1
4037019,3130401,1
4037019,5535245,1
4074148,1222805,1
454780,5230250,1
454780,1993393,1
3836412,5980275,1
3836412,4675165,1
3836412,2220216,1
865866,5269823,1
5618856,5618856,1
1029506,5630778,1
1029506,5980010,1
84750,1011616,1
84750,98810,1
5869687,5869687,1
3038693,5814792,1
4262833,634045,1
769599,5651026,1
5386829,3255670,1
820948,965216,1
820948,820948,1
6180359,6180359,1
5003932,4783229,1
320026,3877393,1
320026,320026,1
731453,731453,1
5936032,5936032,1
454533,454533,1
6000147,1240676,1
1034747,6003183,1
3447572,3595423,1
5995696,131021,1
5995696,5995696,1
4192840,1867857,1
4192840,1375553,1
2542111,2542111,1
1722000,363341,1
1722000,2266827,1
5006001,5006001,1
3917754,4281779,1
6005142,1149277,1
6005142,5692019,1
6003480,6003480,1
5189826,1447675,1
1199662,827047,1
1652010,341512,1
1652010,1327678,1
3722949,2225281,1
1279861,3400962,1
5693400,4856814,1
4471131,4471131,1
5351022,5351022,1
1235929,1373197,1
214416,214416,1
5681491,2451119,1
5681491,771848,1
4227695,3187556,1
4227695,2749581,1
5974313,4921471,1
5974313,3233827,1
5974313,3869445,1
5974313,89969,1
5974313,1175966,1
5910335,4765380,1
5910335,4111931,1
5910335,5691999,1
4867316,2473165,1
863051,266795,1
863051,863051,1
1491267,3997554,1
1491267,501667,1
1491267,3527537,1
1491267,1048572,1
1491267,2151351,1
1491267,918910,1
4316528,1211524,1
5612606,5637321,1
5887538,5737399,1
5887538,5887538,1
5867725,1893672,1
5867725,5814792,1
4495233,5352625,1
4495233,4831042,1
4495233,3152529,1
5337681,3549014,1
5337681,4063281,1
2982195,1697459,1
5905015,4703663,1
5905015,3803371,1
5905015,3924274,1
1708297,296861,1
1708297,1708297,1
4295234,171456,1
4295234,4295234,1
1050939,5579136,1
2165867,4768502,1
3290623,5042683,1
5561875,1984039,1
5561875,2285234,1
5571885,4108060,1
3057041,5230735,1
1212812,1212812,1
2515468,476,1
2515468,157247,1
4991677,4543584,1
4991677,867461,1
4991677,4991677,1
931943,1282071,1
1159128,1887101,1
1159128,2606013,1
4039178,1038015,1
4039178,1292848,1
5137782,1697459,1
2646226,775948,1
6003128,5584865,1
5950768,5950768,1
1699048,674326,1
1175080,114251,1
1175080,1238344,1
5066049,3130401,1
3045182,5922701,1
3045182,3045182,1
824623,4609895,1
824623,1447675,1
824623,824623,1
5090537,2813224,1
6003271,476,1
6003271,6003271,1
2868751,5713935,2
3620642,217408,1
4576957,3408554,1
6001171,6001171,1
4967389,4281779,1
5928679,4108661,1
5984321,5597275,1
5984321,5365802,1
5984321,383847,1
2128295,4029722,1
2128295,3939512,1
2128295,2405040,1
5936967,3229644,1
5936967,411591,1
5063895,4248328,1
1750338,5790063,1
1750338,5980010,1
6000875,721491,1
6000875,2801559,1
4746670,3208691,1
4746670,165657,1
510634,1554165,1
510634,91377,1
304215,1210329,1
41169,41169,1
239879,239879,1
5522131,5860845,1
1883031,4055982,1
6004158,5737399,1
1128694,3512175,1
1128694,6004344,1
6003862,924,1
1077657,152016,1
1077657,3686664,1
1077657,2045851,1
6000147,3385238,1
6000147,4898045,1
6000147,2943906,1
3925445,3890755,1
3469725,390330,1
3591734,3591734,1
1153105,635981,1
5339514,5339514,1
3362334,2801559,1
2934664,7966,1
2934664,695364,1
6000147,4515851,1
5974359,3311552,1
3526482,5650793,1
3526482,4055982,1
86860,5535245,1
86860,5601482,1
5556453,3185918,1
3455405,1175966,1
766532,5784724,1
766532,1464112,1
766532,5999056,1
1170330,2418295,1
1170330,1063392,1
1170330,3890755,1
1170330,2417031,1
5561275,3299157,1
5561275,5867572,1
3257186,3213605,1
3791372,1296030,1
3791372,3997554,1
3791372,5993558,1
6004975,1491895,1
6004975,1380739,1
6004975,6004975,1
1401322,1401322,1
4760630,1035889,1
4760630,390330,1
2690151,1961551,1
5718713,5850955,1
5718713,3832430,1
5718713,4066269,1
6004856,4094489,1
5117502,439963,1
5661019,1175966,1
1861065,777265,1
5623324,4703663,1
5623324,1167573,1
5623324,4898045,1
4891079,5784724,1
4891079,4094489,1
4891079,2505965,1
4891079,2813224,1
5517049,1048200,1
3449772,2270775,1
1647608,3556378,1
2000548,4410165,1
2443105,5784724,1
2443105,4055982,1
6000502,439963,1
6000502,1063392,1
3059097,315935,1
729403,5016997,1
3858177,1411724,1
3858177,918910,1
5999446,6003178,1
4139179,2801559,1
105817,2448829,1
2873468,53788,1
5970552,439963,1
3257186,3803371,1
3257186,1301984,1
3257186,4517228,1
617779,4662347,1
6004872,3875230,1
5343181,5817001,1
2023745,229044,1
2023745,3208258,1
989722,2137104,1
5917969,1906740,1
6004169,5769903,1
4967389,5188543,1
4170705,2801559,1
5544274,5959673,1
5544274,5544274,1
128511,21475,1
4879275,3741957,1
5753624,1205871,1
5753624,349524,1
2241385,670396,1
2241385,1048572,1
2241385,633183,1
2016277,3412322,1
4515851,3930193,1
3451051,4346603,1
5143710,3360175,2
5143710,3695983,1
