Node,In_weight,Out_weight
4482089,1,1
291372,1,1
5738822,0,1
5225363,1,0
3802195,0,1
1612981,1,0
5152892,0,5
5610953,3,0
4334348,10,0
5686489,1,0
369770,1,3
5764553,2,0
2086460,1,0
2258599,0,1
5873054,2,0
4793696,1,1
2403090,0,1
555304,1,0
4960882,0,1
5962832,2,0
5937287,0,1
1873365,9,0
4939097,0,1
4709746,1,0
751223,0,1
1205871,8,0
1262799,1,1
4041522,0,1
5804115,1,0
1144326,0,1
3986737,1,0
3832917,1,1
5236553,0,1
5242405,1,0
6002577,0,1
4312199,0,3
3386635,1,0
2881286,1,0
6084362,1,0
2761425,0,1
4336685,1,0
3937815,1,3
2138752,4,0
4099454,2,0
6002008,0,1
2535335,3,0
1034747,0,2
3027637,1,0
4169605,0,1
4830578,1,0
2567660,0,1
5884295,1,2
1942,6,0
525341,0,2
1893766,1,0
5971809,1,0
3337818,0,1
4462191,1,0
5941485,0,1
3562157,3,0
3751962,0,2
1116870,1,0
2006429,1,0
2078412,0,1
1375553,2,0
3604638,0,2
1542806,1,0
1501285,1,0
3068946,1,1
4292010,0,1
957005,1,0
549910,1,2
2389327,1,0
1761022,0,1
902539,1,0
6003482,0,2
4823900,2,0
803678,1,2
3141816,1,0
1461542,0,1
812369,2,0
111794,0,5
5822880,1,0
1567453,1,0
5937052,1,0
611545,1,0
1081234,1,0
4655002,0,6
1353011,1,0
1222805,2,0
6018048,1,0
4143975,1,0
2922854,1,0
1262541,1,0
4322301,0,1
217408,9,0
2195875,0,2
5410688,1,0
1169519,1,0
4273915,0,1
392102,1,0
4713681,1,1
1474672,0,2
2805376,1,0
2705585,4,0
1633757,0,1
1291163,4,0
5343181,1,2
5826502,0,1
2572383,2,0
135767,1,1
1464339,1,2
2766511,1,0
4485626,0,1
3332391,1,0
3630497,0,2
1222240,1,0
5852567,2,0
3149129,0,2
5678086,9,0
5634822,3,0
2653016,0,1
1418154,1,0
5865231,0,1
1416013,6,0
301596,0,2
3790927,2,0
2618971,3,0
5979596,0,1
4331247,1,0
3282434,0,6
2749581,3,0
4278933,4,2
1623026,2,0
5661019,0,5
2242409,2,0
1816431,1,0
1507325,1,0
1323504,1,0
2656843,1,1
605129,0,2
3208258,5,0
1946501,1,0
2370086,0,1
2996808,0,1
5230735,5,0
1721238,0,1
5741762,2,0
4547352,0,3
4341456,1,1
5861069,1,0
246927,1,0
1046810,0,2
5202875,1,0
2913508,3,0
6000348,1,0
373386,0,1
4478047,2,0
1944296,1,2
454780,1,2
2848286,0,2
1984039,16,6
5762799,2,0
4948676,2,1
2162496,1,0
5611933,1,1
5830903,1,1
6003044,0,1
676195,1,0
3656447,0,3
62937,1,0
1983583,1,0
458193,1,0
5963526,1,2
3937680,1,0
4806744,0,1
5889530,2,2
6000468,0,3
816620,3,0
4938328,1,0
4175733,2,0
1817288,1,3
5982493,1,0
5241159,0,1
4056188,3,0
6000441,0,1
4155665,1,0
1202807,0,3
2827823,9,0
2341601,1,0
4796489,1,0
1836964,0,1
93356,1,0
5860299,0,1
486979,1,0
1110819,0,1
92701,1,0
4975710,0,1
1561269,1,0
1098851,2,0
4998200,0,1
3286625,1,0
5124167,1,1
6000566,0,1
3011380,10,0
4782740,0,1
3720222,6,0
4365228,0,1
5892720,1,0
1918465,1,1
1396502,0,3
1712905,1,0
2050780,2,0
3725361,1,0
4263746,1,2
2477659,1,0
3061143,1,1
4870602,0,3
2356315,5,0
1621039,1,0
2168947,1,0
5929463,0,1
4421782,1,0
6004627,1,1
1137034,0,2
9970,1,2
1429053,1,0
5842642,0,1
3716608,4,0
5403074,0,1
1048200,3,0
5589649,0,2
1735264,1,0
6008370,2,0
4864334,0,3
4863465,3,0
594235,2,0
5928107,0,2
4096129,1,0
2813224,6,0
1659913,0,1
3018210,1,0
6000883,0,1
4916074,1,0
5767562,0,2
4360479,2,0
1807880,0,2
1957849,1,0
2559838,0,1
3382204,1,0
4868100,0,1
4037019,0,4
5997007,1,0
3974539,3,0
3130401,4,0
5535245,7,0
4074148,0,1
5230250,2,0
1993393,1,0
3836412,0,3
5980275,1,0
4675165,3,0
2220216,1,0
865866,0,1
5269823,3,0
5618856,1,1
1029506,0,2
5630778,1,0
5980010,5,0
84750,0,2
1011616,1,0
98810,1,0
5869687,1,3
3038693,0,1
5814792,4,0
4262833,0,1
634045,1,0
769599,0,1
5651026,1,0
5386829,0,1
3255670,1,0
820948,1,2
965216,1,0
6180359,1,1
5003932,0,3
4783229,1,0
320026,1,2
3877393,3,0
731453,1,1
5936032,1,1
454533,2,1
6000147,0,5
1240676,1,0
6003183,2,0
3447572,0,1
3595423,1,0
5995696,1,2
131021,1,0
4192840,0,2
1867857,1,0
2542111,1,1
1722000,0,2
363341,3,0
2266827,1,0
5006001,1,1
3917754,0,2
4281779,15,0
6005142,0,2
1149277,3,0
5692019,1,0
6003480,1,1
5189826,0,1
1447675,9,0
1199662,0,1
827047,1,0
1652010,0,2
341512,1,0
1327678,1,0
3722949,0,1
2225281,3,0
1279861,0,1
3400962,1,0
5693400,0,1
4856814,1,0
4471131,1,1
5351022,1,1
1235929,0,1
1373197,6,0
214416,1,1
5681491,0,2
2451119,2,0
771848,7,0
4227695,0,2
3187556,3,1
5974313,0,12
4921471,3,0
3233827,1,0
3869445,2,0
89969,3,0
1175966,11,0
5910335,0,3
4765380,2,0
4111931,6,0
5691999,2,0
4867316,0,1
2473165,1,0
863051,1,2
266795,3,0
1491267,0,6
3997554,4,0
501667,2,0
3527537,1,0
1048572,2,0
2151351,1,0
918910,2,0
4316528,0,1
1211524,1,0
5612606,0,1
5637321,3,0
5887538,1,2
5737399,2,0
5867725,0,2
1893672,2,0
4495233,0,3
5352625,1,0
4831042,2,0
3152529,1,0
5337681,0,2
3549014,1,0
4063281,4,0
2982195,0,1
1697459,3,0
5905015,0,6
4703663,5,0
3803371,2,0
3924274,1,0
1708297,1,2
296861,1,0
4295234,1,2
171456,2,0
1050939,0,1
5579136,1,0
2165867,0,1
4768502,2,0
3290623,0,1
5042683,2,0
5561875,0,2
2285234,1,0
5571885,0,1
4108060,2,0
3057041,0,1
1212812,1,1
2515468,0,2
476,7,0
157247,4,0
4991677,1,3
4543584,1,0
867461,1,4
931943,0,1
1282071,1,0
1159128,1,2
1887101,1,0
2606013,3,0
4039178,0,2
1038015,1,0
1292848,1,0
5137782,0,5
2646226,0,1
775948,2,0
6003128,0,1
5584865,1,0
5950768,1,1
1699048,0,1
674326,1,0
1175080,0,2
114251,6,0
1238344,1,0
5066049,0,1
3045182,1,2
5922701,1,0
824623,1,3
4609895,2,0
5090537,0,1
6003271,1,2
2868751,0,2
5713935,6,0
3620642,0,1
4576957,0,1
3408554,1,1
6001171,1,1
4967389,0,4
5928679,0,1
4108661,1,0
5984321,0,3
5597275,1,0
5365802,1,0
383847,2,0
2128295,0,3
4029722,1,0
3939512,1,0
2405040,1,0
5936967,0,2
3229644,1,0
411591,1,0
5063895,0,1
4248328,3,0
1750338,0,2
5790063,1,0
6000875,0,2
721491,2,0
2801559,9,0
4746670,0,2
3208691,1,0
165657,2,0
510634,0,2
1554165,7,0
91377,1,0
304215,0,1
1210329,1,0
41169,1,1
239879,1,1
5522131,0,1
5860845,2,0
1883031,0,2
4055982,6,0
6004158,0,1
1128694,0,2
3512175,4,0
6004344,1,0
6003862,0,1
924,1,0
1077657,0,3
152016,2,0
3686664,1,0
2045851,1,0
3385238,4,0
4898045,2,0
2943906,1,0
3925445,0,1
3890755,2,0
3469725,0,1
390330,3,0
3591734,2,1
1153105,0,1
635981,1,0
5339514,1,1
3362334,0,1
2934664,0,2
7966,5,0
695364,2,0
4515851,1,1
5974359,0,1
3311552,1,0
3526482,0,2
5650793,1,0
86860,0,2
5601482,2,0
5556453,0,1
3185918,1,0
3455405,0,1
766532,0,3
5784724,5,0
1464112,2,0
5999056,5,0
1170330,0,5
2418295,1,0
1063392,4,0
2417031,3,0
5561275,0,2
3299157,1,0
5867572,1,0
3257186,0,5
3213605,1,0
3791372,0,3
1296030,1,0
5993558,8,0
6004975,1,3
1491895,4,0
1380739,2,0
1401322,1,1
4760630,0,2
1035889,1,0
2690151,0,1
1961551,1,0
5718713,0,3
5850955,3,0
3832430,2,0
4066269,2,0
6004856,0,1
4094489,2,0
5117502,0,1
439963,6,0
1861065,0,1
777265,1,0
5623324,0,3
1167573,1,0
4891079,1,4
2505965,1,0
5517049,0,1
3449772,0,1
2270775,1,0
1647608,0,1
3556378,1,0
2000548,0,1
4410165,2,1
2443105,0,2
6000502,0,4
3059097,0,1
315935,3,0
729403,0,1
5016997,2,0
3858177,0,6
1411724,1,0
5999446,0,1
6003178,1,0
4139179,0,1
105817,0,1
2448829,2,0
