Ques_re,Answer_re
2830,2830
135,126
50,156
8,8
61,61
66,432
19,19
43,9819
7,431
26,153
8,3130
8,371
253,11892
31,581
35,35
29,5720
20,1264
407,407
921,15788
23,23
139,1077
36,36
20,7291
15,15
49,49
731,731
55,131
872,616
9,26
86,1654
536,3825
722,3881
127,127
133,16419
318,572
57,57
425,1136
8,478
1075,14585
28,449
1184,1184
365,365
383,2383
396,5887
192,10342
1785,63546
63,10552
134,4301
73,73
162,177
38,38
16,16
634,58968
569,3559
2307,2307
34,5298
51,2415
290,71
2261,789
875,875
9812,214
767,572
103,4327
1459,1459
1,1
717,130
5494,5494
355,56
22,22
126,17020
34,127
1062,16144
57,57
15,18856
1,1
8,8
6,592
4568,1103
3,928
139,6426
180,17144
167,691
911,576
42,176160
21,91
211,9887
23,1301
5,8094
336,66690
70,23777
105,199
321,170
2094,2094
89,14110
653,748
19,356
29,73225
22,22
465,7468
1545,1545
54,1613
11,10015
21,36
7,166
382,74477
134,789
319,454
781,468
85,1086
63,63
1010,60083
318,40688
2607,973
164,82173
2729,2002
8,3106
6,6
2217,4833
684,1373
182,3559
254,2002
862,633
5282,180014
1030,2643
642,446
603,32194
36,156
87,832
805,395
104,32194
20,52166
330,3059
55,7882
5,107
158,674
13,13
111,2002
13,2390
1000,1638
5,326
68,638
11,540
169,1697
8,1262
65,66
465,311
37,198
9,13624
720,1121
27,141
5448,180014
3,105
25,523
361,3496
20,2255
1249,13177
114,90526
1065,5471
49,49
3084,3084
142,2719
13,7815
230,230
872,33
165,736
13,592
1016,2726
580,4301
319,9301
540,5612
3,66
717,4301
107,46
63,126
50,9802
21,153
152,152
307,176160
339,1243
3,615
115,82173
155,97
7391,7391
3,4137
7,503
1021,1021
440,16144
3,853
1607,1287
5956,46101
140,316
53,2217
3629,90526
320,57762
66,82173
426,338
128,3496
21,16144
4696,195719
137,176
338,106
39,10337
2280,4535
13,4563
37,5114
31,928
65,692
1427,176160
50,710
347,10783
26,117
4375,966
40,135705
5,10337
195,43860
3,3798
3,216
11,762
