Reputation,View_Count
536,45
2830,71
135,25
1,46
50,60
8,33
172,38
1576,63
61,45
73,29
3,61
61,28
66,14
19,37
553,42
24,87
141,80
83,51
43,86
7,79
136,45
1,56
950,97
26,30
8,45
114,41
8,53
355,118
253,25
31,38
35,40
29,47
20,34
32,24
969,50
59,24
4871,137
3063,212
16,25
223,235
125,29
155,264
32,39
1,31
407,199
115,15
921,149
60,33
23,40
139,61
36,24
20,22
111,64
15,48
49,41
730,53
113,22
6,63
1,55
731,57
2152,60
1,28
151,51
55,47
5007,54
26,60
22,35
332,49
872,49
9,32
10,34
183,27
15,42
81,50
233,70
106,40
86,35
4333,18
536,30
722,90
6,39
127,37
133,32
318,43
57,72
40,30
425,349
1,34
8,49
1075,89
513,40
8,38
28,75
1184,22
51,31
365,41
314,59
383,62
396,46
192,72
1785,123
63,71
134,94
23,70
444,94
73,60
1294,85
18,37
162,38
38,116
639,29
1,24
1,42
16,51
21,46
634,54
1,56
569,16
2307,37
64,31
13,33
1,25
6,23
48,63
2006,51
34,88
48,37
21,29
87,48
1,37
51,69
290,59
2261,95
875,23
669,13
1,69
9812,61
9812,60
767,30
650,72
3645,43
66,15
171,32
103,45
48,50
1459,44
30,53
1,41
717,62
5494,35
8,17
6,47
16,23
355,45
22,60
11,24
126,43
114853,66
32,34
11,34
34,27
1062,79
57,39
15,63
1,38
8,37
140,47
6,30
168,43
26,76
4568,117
9,59
136,18
3,20
139,39
1,51
180,45
1,37
39,54
167,44
911,41
1284,25
42,48
42,40
21,36
211,41
23,68
5,82
1,47
16,32
5,39
157,24
336,23
70,38
105,56
66,64
354,28
449,35
321,40
68,34
1,41
135,40
1921,63
53,49
1,29
85,27
63,36
2094,27
346,29
31,38
827,39
24,37
89,33
740,25
1,41
55,31
1,41
653,72
28,33
19,34
61,42
1249,30
29,85
22,43
465,74
1545,39
54,39
92,25
11,71
21,121
7,34
6,42
76,32
382,79
134,63
9,74
6633,39
319,38
11223,13
1,25
868,48
6,41
6,27
443,26
1,52
781,51
115,42
176,40
17425,35
85,33
63,21
1228,66
1010,28
1185,41
318,27
6,40
1,32
35,37
2607,46
2,47
144,45
16,43
164,22
20,31
6,37
18,41
2729,42
323,35
8,69
1,36
633,24
492,41
6,47
320,35
22,32
2217,23
140,14
1,18
81,17
22,39
684,47
182,41
536,25
332,18
254,21
18,32
862,12
5282,52
2459,49
835,61
8,32
633,29
1030,29
1,26
642,55
47,22
603,30
1,30
56,11
36,24
21,30
37,29
1498,32
87,41
805,33
52,23
1249,30
104,41
