Reputation,AnswerInverval
8,815
172,788
2830,3
50,807
135,881
61,26
66,539
19,504
7,9
43,337
8,345
8,320
31,314
35,311
253,13
26,0
20,0
29,6
407,78
921,169
20,0
15,143
36,179
731,24
23,165
139,0
55,20
9,7
872,0
49,143
86,1
536,0
722,128
127,99
133,0
318,106
57,102
425,1
8,0
1184,65
28,0
1075,52
192,64
383,78
396,6
1785,0
365,64
63,0
134,0
162,26
38,65
16,67
73,19
2307,58
569,0
634,2
34,27
51,35
290,0
9812,0
2261,40
103,4
767,0
875,44
1459,40
717,24
5494,7
355,2
34,25
22,22
126,32
1,5
1062,16
6,0
1,24
15,0
4568,8
139,24
57,18
8,18
911,0
42,2
180,0
21,15
167,0
211,22
3,22
23,12
105,23
5,0
70,1
336,0
321,26
2094,16
63,0
89,5
653,0
19,0
29,0
22,23
7,5
21,4
465,1
11,0
134,9
382,0
1545,11
54,7
319,0
781,0
1010,5
318,4
63,1
85,0
17425,2
164,0
2729,0
2607,0
6,0
8,0
2217,0
182,1
684,2
862,0
254,0
5282,1
603,0
1030,0
805,0
36,0
642,0
104,0
20566,2
87,0
20,0
330,1
55,1
111,0
13,2
158,0
13,0
5,3
5,0
1000,0
68,0
11,0
169,1
65,0
465,0
37,0
8,0
3,0
720,0
9,0
27,0
25,0
5448,0
20,0
114,0
1249,0
1065,0
361,0
3084,1
49,18
142,0
13,5
230,0
872,1
13,0
165,1
319,1
540,0
1016,0
580,3
717,1
63,0
107,0
3,0
346,0
50,0
21,0
339,0
152,2
155,0
7391,4
3,0
115,0
307,0
7,0
1021,0
3,0
440,0
3,1
43669,0
5956,0
1607,0
140,1
320,1
3629,0
53,0
426,0
128,0
4696,0
66,0
21,0
588,0
338,0
39,0
2280,0
13,0
137,1
31,1
37,0
65,2
4375,0
1427,0
347,0
26,0
40,0
50,1
5,0
11,0
195,0
57,0
3,0
3,0
457,0
15,3
3507,0
648,0
14,0
345,0
314,0
30,0
359,0
1274,0
29,0
42,0
79,0
4,0
131,0
195,0
31284,11
28,0
759,1
1542,0
3,0
97,0
140,0
532,0
13,0
565,0
15,0
187,0
18,0
169,1
10,8
634,0
8877,2
324,0
99,0
101,1
1109,15
1230,0
159,0
57,0
66,0
4032,0
3,0
1401,0
82,0
3,0
144,3
26,1
91,0
1078,2
88,0
46,0
39,0
115,2
459,0
721,0
171,0
1665,0
30,1
334,0
15206,2
8,1
600,0
98,0
266,0
512,0
53,0
107,0
1,0
771,0
8,0
7,1
934,1
903,10
75,3
7,6
8,0
2607,0
818,0
383,0
1137,0
17,2
892,0
858,0
109,5
505,0
8,0
1,0
451,0
8,0
1,0
225,0
50,0
118,0
444,0
1000,1
61,0
943,0
2059,0
585,0
14,1
55,0
420,0
5,0
239,0
24,6
127,1
4827,0
172,0
107,0
434,0
572,0
17,0
47,0
850,0
2976,0
174,8
254,0
1601,0
51,0
2316,2
6565,0
37,0
